Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
APEX,Apex Global Brands Inc,1.955,-0.155,-7.35%,2.11,1.955,2695,14:24 ET
APG,Api Group Corp,20.4,-0.09,-0.44%,20.5,20.2,455453,3/16/21
APH,Amphenol Corp,65.31,-0.54,-0.82%,66.72,64.88,2918660,3/16/21
APHA,Aphria Inc,20.22,-1.95,-8.78%,22.26,19.94,19674826,3/16/21
API,Agora Inc Ads,62.32,-5.11,-7.58%,67.68,60.03,1300461,3/16/21
APLE,Apple Hospitality REIT Inc,15.41,-0.27,-1.72%,15.65,15.2,1994862,3/16/21
APLS,Apellis Pharmaceuticals Inc,45.55,-1.56,-3.31%,47.87,45.1,481638,3/16/21
APLT,Applied Therapeutics Inc,19.05,-0.61,-3.10%,19.7,18.61,76536,3/16/21
APO,Apollo Global Management Llc C,48.07,-0.73,-1.50%,49.41,47.97,2703269,3/16/21
APOG,Apogee Entrpr Inc,41.11,-1.45,-3.41%,42.41,41.01,141599,3/16/21
APPF,Appfolio Cl A,141.06,-1.17,-0.82%,145.78,138.62,121425,3/16/21
APPH,Appharvest Inc,23.12,-1.39,-5.67%,24.99,21.79,2319589,3/16/21
APPN,Appian Corp Cl A,167.18,-2.94,-1.73%,173,162.46,532720,3/16/21
APPS,Digital Turbine,79.51,-4.75,-5.64%,85.96,76.55,4068589,3/16/21
APRE,Aprea Therapeutics Inc,6.15,0.15,2.50%,6.53,5.92,1635038,3/16/21
APRN,Blue Apron Holdings Inc,7.8,-0.59,-7.03%,8.56,7.8,349312,3/16/21
APT,Alpha Pro Tech,10.76,-0.41,-3.67%,11.57,10.68,637389,3/16/21
APTO,Aptose Bioscns,3.89,0,0.00%,3.96,3.82,295051,3/16/21
APTS,Preferred Apartment Communities,10.26,-0.43,-4.02%,10.6,9.93,605937,3/16/21
APTV,Aptiv Plc,147.35,-5.48,-3.59%,152.57,146.67,1592971,3/16/21
APTX,Aptinyx Inc,3.22,-0.1,-3.01%,3.32,3.16,392138,3/16/21
APXT,Apex Technology Acquisition Corp Cl A,12.97,-0.35,-2.63%,13.7,12.7,1077125,3/16/21
APYX,Apyx Medical Corp,11.06,-0.48,-4.16%,11.59,10.72,48900,3/16/21
AQB,Aquabounty Technologies Inc,7.27,-0.39,-5.09%,8.1,7.26,2481960,3/16/21
AQMS,Aqua Metals Inc,4.44,-0.44,-9.02%,4.88,4.32,2140830,3/16/21
AQN,Algonquin Pwr & Util,16.15,0.13,0.81%,16.23,15.98,1654856,3/16/21
AQST,Aquestive Therapeutics Inc,5.23,-0.33,-5.94%,5.58,5.15,837293,3/16/21
AQUA,Evoqua Water Technologies Corp,26.97,0.14,0.52%,27.12,26.3,1379756,3/16/21
AR,Antero Resources Corp,9.93,-0.16,-1.59%,10.11,9.78,6566902,3/16/21
ARAV,Aravive Inc,7.63,0,0.00%,8.25,7.51,340540,3/16/21
ARAY,Accuray Inc,5.26,-0.16,-2.95%,5.4,5.13,510096,3/16/21
ARC,American Reprographics Company,2.25,-0.14,-5.86%,2.35,2.16,348790,3/16/21
ARCB,Arcbest Corp,69.78,-2.18,-3.03%,72.37,69.53,321973,3/16/21
ARCC,Ares Capital Corp,18.69,-0.19,-1.01%,18.93,18.61,1841831,3/16/21
ARCH,Arch Resources Inc,47.36,-1.56,-3.19%,49.31,44.74,623305,3/16/21
ARCO,Arcos Dorados Holdings Inc,5.26,-0.01,-0.19%,5.29,5.13,1177058,3/16/21
ARCT,Arcturus Therapeutics Ltd,51.76,-0.43,-0.82%,54.3,50.21,526030,3/16/21
ARD,Ardagh Group S.A.,26.9,-0.26,-0.96%,27.4,26.5,73858,3/16/21
ARDX,Ardelyx Inc,7,0.03,0.43%,7.16,6.86,1009561,3/16/21
ARE,Alexandria Real Estate Equities,169.16,2.84,1.71%,169.36,166.01,582354,3/16/21
ARES,Ares Management LP,54.68,-0.71,-1.28%,55.26,54.23,499451,3/16/21
ARGT,G-X FTSE Argentina 20 ETF,30.27,0.07,0.23%,30.75,30.12,10538,3/16/21
ARGX,Argenx Se Ads,317.73,0.18,0.06%,321.36,313.35,135010,3/16/21
ARI,Apollo Commercial Real Estate,14.54,-0.22,-1.49%,14.75,14.42,835195,3/16/21
ARKF,Ark Fintech Innovation ETF,54.95,-0.24,-0.43%,56.3,54.17,2314417,3/16/21
