Symbol,Name,Last,Industry,20D Avg Vol,Market Cap
GDS,Gds Holdings Ltd,79.1,Technology Services,1543806,15183592000
GE,General Electric Company,12.99,Conglomerates - Div Operations,108730906,1.10E+11
GEAGY,Gea Group Ag,40.585,Machinery - General Industrial,N/A,6136728000
GELYY,Geely Auto Hlds ADR,52.54,Auto - Foreign,22935,24870768000
GFI,Gold Fields Ltd,9.36,Mining - Gold,8214177,8005828000
GFL,Gfl Environmental Inc,34.7,Waste Removal Svcs,906988,10845042000
GFSZY,G4S Plc ADR,16.835,Protection - Safety,10279,5089232000
GGB,Gerdau S.A.,4.98,Steel - Producers,12554549,8116791000
GGG,Graco Inc,71.95,Machinery - General Industrial,1083121,11723766000
GH,Guardant Health Inc,135.57,Medical - Biomedical,992079,13508435000
GIB,CGI Group,82.4,Computer - Services,151272,20665060000
GIL,Gildan Activewear,30.84,Textile - Apparel,518654,5885226000
GILD,Gilead Sciences Inc,65.23,Medical - Biomedical,8853056,80861760000
GIS,General Mills,60.97,Food - Misc & Diversified,5368580,35842436000
GL,Globe Life Inc,98.46,Finance - Misc Services,432335,11205891000
GLNCY,Glencore International Plc,7.89,Mining - Misc,337258,49966168000
GLOB,Globant S.A.,209,Internet Software Services,193895,8364005000
GLPEY,Galp Energia ADR,5.91,Oil - Refining and Marketing,49677,9768565000
GLPG,Galapagos NV,76.53,Medical - Biomedical,235787,5081859000
GLPI,Gaming & Leisure,42.26,REIT - Equity Trust Other,1448767,9658084000
GLW,Corning Inc,43.41,Communications Components,5621225,30958850000
GM,General Motors Company,56.52,Auto - Domestic,22999488,80417352000
GMAB,Genmab A/S,33.01,Medical - Biomedical,779069,20758380000
GME,Gamestop Corp,181,Retail - Consumer Electronics,32201037,8393354000
GMED,Globus Medical Inc,60.93,Medical Instruments,464897,5992810000
GNGBY,Getinge Ab ADR,27.54,Medical Services,1765,7059071000
GNMSF,Genmab A/S Dkk,326.97,Medical - Biomedical,1913,20106002000
GNNDY,Gn Store Nord ADR,243.01,Medical Products,231,10812444000
GNRC,Generac Holdings Inc,316.04,Electrical Power,1440661,18662174000
GNTX,Gentex Corp,35.7,Auto - Truck Original Parts,1550595,8343125000
GOLD,Barrick Gold Corp,20,Mining - Gold,18742588,35849500000
GOOG,Alphabet Cl C,2035.55,Internet - Services,1556344,1.38E+12
GOOGL,Alphabet Cl A,2024.73,Internet - Services,1653176,1.37E+12
GOOS,Canada Goose Holdings Inc,40.88,Retail - Apparel & Shoes,1133791,4456551000
GPC,Genuine Parts Company,118.55,Auto - Truck Replacement Parts,942594,16579136000
GPFOY,Grupo Fin Inburs ADR,4.87,Banks - Foreign,6295,6435651000
